"Source:","C:\Users\joaqu\OneDrive\Documents\kiCad\Oscilador Hartley\Oscilador_Hartley\Oscilador_Hartley.kicad_sch"
"Date:","13/05/2024 13:16:02"
"Tool:","Eeschema 7.0.2"
"Generator:","D:\Archivos de Programa 2\Kicad_7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","20"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","10n","C","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","Unpolarized capacitor","",""
"C2","1","10n","C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","Unpolarized capacitor","",""
"C3","1","100p","C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","Unpolarized capacitor","",""
"C4","1","39p","C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","Unpolarized capacitor","",""
"C'1","1","100u","C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","Unpolarized capacitor","",""
"C'3","1","50p","C_Trim","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","Trimmable capacitor","",""
"H1, H2, H3, H4","4","MountingHole","MountingHole","MountingHole:MountingHole_2.2mm_M2_DIN965_Pad","Mounting Hole without connection","",""
"J1","1","in","Conn_01x02_Pin","TerminalBlock_Altech:Altech_AK300_1x02_P5.00mm_45-Degree","Generic connector, single row, 01x02, script generated","",""
"J2, J3","2","Conn_01x01","Conn_01x01","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"L1","1","1","L","Inductor_THT:L_Axial_L7.0mm_D3.3mm_P5.08mm_Vertical_Fastron_MICC","Inductor","",""
"L2","1","2","L","Inductor_THT:L_Axial_L9.5mm_D4.0mm_P15.24mm_Horizontal_Fastron_SMCC","Inductor","",""
"Q1","1","mpsh10","BF459","Package_TO_SOT_THT:TO-92L_Wide","0.1A Ic, 300V Vce, High Voltage NPN Transistor, TO-126","",""
"R1","1","1k2","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor","",""
"R2","1","200k","R_Potentiometer","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","Potentiometer","",""
"R'2","1","4k7","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor","",""
"RL1","1","100","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor","",""
