"Source:","C:\Users\joaqu\OneDrive\Documents\kiCad\plc_7.0\plc\plc.kicad_sch"
"Date:","18/04/2023 22:51:49"
"Tool:","Eeschema 7.0.2"
"Generator:","D:\Archivos de Programa 2\Kicad_7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","3"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","J1","Conn_01x02_Pin","Connector:Conn_01x02_Pin","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~",""
"2","1","K1","G5Q-1A","Relay:G5Q-1A","Relay_THT:Relay_SPST_Omron-G5Q-1A","https://www.omron.com/ecb/products/pdf/en-g5q.pdf",""
"3","1","Q1","BC548","Transistor_BJT:BC548","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf",""
